Gender,Race,HomeTwn,Live,Greek?,Parents,GPA,SkipCl,TextSpd,SitArea,HrsStudy,FornTeach,HrsCompu,PayEduc,GetEduc,HrsWork,HubFood,Relimport,ReadBibl,RelPref,God?,Weight,Height,IdlWt,IdlHt,ViewWt,Handed,LongFing,EyeSight,SelfAttr,ShoeSize,LooksImp,MakeFrnds,DateRace,InstMsgr,PeopKiss,DatePerly,AgeDiff,FutSpous,HowComm,DateSpnd,LongRels,UseFaceBk,AgeMarry,CDsOwn,Parties,CellPhn,MinTalk,FavMusic,EntrPref,CDsBurnd,OwnIPod,MP3Playr,MovyGenr,Book_Movy,SpendTVA,HrsExer,SmokeCig,HrsSleep,Abortion,ExerPref,WtTry,FastDrvn,SameSex,IceTerm,CitedOff,DrvnInfl,BevPref,DaysAlco,SmokedMj,Ecstasy,LegalMj?,DrnksUsl,SpndAlco,DrvnDrnk,DrnkIntox,DrnkPref,Shroomed,LiteBeer,Cocaine?,MjBrowny,MostBeer,RolldMj?,Age1stDrk,BushJob,AttkIraq,PolAffln,JoepaQuit,TVSport,HSSports,Virgin,SexNoRel,SexB4Mar,CheatdSO,CheatTel,SexPartns,DatesB4Sex,AgeLostIt,Sex/Week,SameSex_1,UseProtn,HrsPorn,MinDatesB4,OKSameSex,Speed-Dating,SexUnsure,PreMarSex
female,Caucasian,Suburban,Dorm,No,Divorced,4,0,300,Middle,20,Yes,3,Scholar/Me ,Yes,None,Too expensive,Fairly,Once in a while,Catholic,Yes,120,65,110,67,overweight,right,index,near-sighted,No,4,11,opposite_gender,Yes,3,6-10,Yes,0-2 years older,If it happens,Phone,50,1,Yes,25,20,4,Yes,60,Pop,Movies,20,No,Don't own one,Romance,Movie,1-3,12,No,7,Yes,With company,Lose,90,"No never",Italian,1,No,Milk,2,No,No,Yes,1_2,0-$10,0,2,Liquor,No,Don't drink lite,No,No,2,No,14,Disapprove,No,Democrat,No,Basketball,Yes,No,Yes,No,No,Yes,2,4,16,Once,Yes,Yes,None,Second,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Divorced,3.5,3,500,Middle,8,Yes,2,Me,Yes,None,Reasonable,Fairly,Once in a while,Protestant,Yes,145,66,130,66,about_right,left,ring,near-sighted,Yes,4,11,opposite_gender,No,1,6-10,Yes,2-4 years older,If it happens,Face to face,30,4,Yes,24,50,10,Yes,60,Rock,Music,30,No,Don't own one,Comedy,Movie,1-3,4,No,7,Yes,With company,Lose,90,"Yes occasionally",Italian,1,No,Milk,11,Yes,No,Yes,5_6,$11-$30,0,5,Liquor,No,Bud,No,No,12,No,16,Disapprove,No,Other,No,Football,Yes,No,Yes,Yes,Yes,Yes,4,7,18,6-7,Yes,Yes,None,Second,Yes,no opinion,No,Yes
male,Caucasian,A big city,Dorm,No,Married,3.4,3,150,Middle,0,Yes,2,Parents,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,200,72,190,72,overweight,right,ring,near-sighted,Yes,9,8,no_preference,No,.,1-5,Yes,0-2 years younger,If it happens,Email/IM,100,2,Yes,25,3,4,Yes,100,Rock,Sports,100,iPod Photo,Have an iPod,Comedy,Movie,4-6,4,No,7,Yes,With company,Nothing,110,"No never",Italian,0,No,Milk,7,No,No,No,9 or more,$30-$50,0,8,Liquor,No,Miller,No,No,20,No,18,Approve,Yes,Republican,No,Football,Yes,No,Yes,Yes,No,Yes,3,21,17,Not active,No,No,0-2 hours,Fifth,No,no opinion,No,Yes
male,Caucasian,Suburban,Apartment,No,Married,3.12,0,450,Middle,10,Yes,2,Me,Yes,11-20,Too expensive,Fairly,Never,Catholic,Yes,165,71,160,72,about_right,right,ring,neither,Don't know,6,17,same_gender,No,2,1-5,No,3-4 years younger,If it happens,Face to face,50,1,Yes,24,40,2,Yes,75,Rap/Hip Hop,Sports,20,iPod Mini,Have an iPod,Action,Movie,1-3,4,No,7,No,Alone,Nothing,115,"No never",Italian,0,No,Soda,3,No,No,No,1_2,$11-$30,0,4,Beer,No,Bud,No,No,8,No,17,Approve,No,Republican,No,Football,Yes,No,Yes,No,No,No,2,5,18,Once,No,No,0-2 hours,Fifth,No,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,Yes,Married,3.1,0,500,Middle,20,Yes,3,Parents,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,125,62,115,65,overweight,right,index,near-sighted,Yes,3,11,opposite_gender,No,.,More than 25,No,2-4 years older,If it happens,Face to face,100,3,Yes,28,100,20,Yes,420,Rock,Music,35,iPod Photo,Have an iPod,Comedy,Movie,1-3,7,No,8,Yes,With company,Lose,90,"No never",Water,1,Yes,Soda,16,No,No,No,7_8,0-$10,0,7,Liquor,No,Miller,No,No,20,No,15,Approve,Yes,Republican,No,Football,Yes,Yes,Yes,Yes,Yes,Yes,0,3,0,Not active,Yes,Not active,None,Not sexually active,No,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,Yes,Married,3.74,0,400,Middle,6,No,2,Scholar/Parents ,Yes,None,Too expensive,Not,Never,Catholic,Yes,130,62,120,65,about_right,right,index,near-sighted,Yes,4,15,opposite_gender,No,2,11-25,Yes,2-4 years older,Very important,Face to face,50,2,Yes,26,50,11,Yes,60,Rap/Hip Hop,Movies,10,iPod Mini,Have an iPod,Romance,Movie,1-3,6,No,6,Yes,Alone,Lose,80,"No never",Italian,0,Yes,Water,10,Yes,No,No,5_6,$11-$30,1,5,Liquor,No,Miller,No,No,6,No,17,Approve,No,Republican,No,Football,No,No,Yes,No,No,Yes,3,3,20,Once,Yes,Yes,None,First ,Yes,no opinion,No,Yes
female,Caucasian,A big city,Apartment,No,Married,2.86,3,330,Back,12,Yes,3,Parents,Yes,11-20,Too expensive,Fairly,Never,Catholic,Yes,148,65,135,65,overweight,right,index,neither,Yes,3,18,same_gender,No,5,More than 25,No,2-4 years older,Very important,Face to face,100,2,Yes,25,30,15,Yes,15,Rock,Movies,30,iPod Mini,Have an iPod,Comedy,Movie,>6,3,No,7,No,Alone,Lose,120,"No never",Italian,0,Yes,Water,17,Yes,No,Yes,7_8,$30-$50,.,5,Liquor,No,Miller,No,Yes,20,No,15,Approve,Yes,Republican,No,Hockey,Yes,No,Yes,No,Yes,Yes,5,0,16,Not active,Yes,No,None,First ,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,4,0,500,Middle,16,Yes,3,Parents,Yes,None,Reasonable,Fairly,Never,Catholic,Yes,125,64.5,110,65,about_right,right,index,near-sighted,Yes,3,15,opposite_gender,No,.,11-25,No,5-10 years older,If it happens,Face to face,100,1,Yes,25,100,12,Yes,6,Pop,Movies,50,iPod Mini,Have an iPod,Comedy,Movie,1-3,3,No,8,Yes,Alone,Lose,90,"No never",Italian,0,Yes,Soda,12,No,No,No,5_6,$11-$30,2,5,Beer,No,Miller,No,No,10,No,15,Disapprove,No,Democrat,No,Football,Yes,No,Yes,Yes,No,Yes,3,1,16,Not active,No,Yes,None,Second,Yes,no opinion,No,Yes
male,Caucasian,Rural,Apartment,No,Married,3.3,0,275,Back,3,Yes,3,Parents,No,11-20,Too expensive,Fairly,Never,Protestant,Yes,173,75,180,75,about_right,right,index,neither,Yes,9,20,no_preference,No,2,11-25,No,2-4 years older,If it happens,Face to face,25,1,No,30,30,3,No,60,Rock,Music,75,iPod,Have an iPod,Other,Movie,1-3,2,Yes,8,No,With company,Stay the same,110,"No never",Italian,0,Yes,Water,7,Yes,No,No,5_6,$11-$30,3,5,Liquor,No,Bud,No,No,12,No,16,Disapprove,No,Other,No,Other,Yes,No,Yes,No,No,Yes,3,2,18,Once,No,Yes,0-2 hours,First ,No,no opinion,No,Yes
male,Caucasian,A small town,Apartment,No,Divorced,2.5,3,350,Back,6,No,3,Me,No,>20,Reasonable,Fairly,Never,Other,Yes,180,71,195,73,about_right,right,same,near-sighted,Yes,7,20,opposite_gender,No,1,More than 25,Yes,3-4 years younger,If it happens,Face to face,350,4,Yes,28,100,8,Yes,140,Rock,Movies,30,No,Other,Comedy,Movie,1-3,2,No,7,Yes,With company,Gain,110,"No never",Italian,1,Yes,Milk,24,Yes,Yes,Yes,7_8,More than $50,.,10,Wine,Yes,Miller,Yes,Yes,26,Yes,13,Disapprove,Yes,Other,No,Football,Yes,No,Yes,No,Yes,Yes,9,1,16,4-5,No,No,None,First ,Yes,no opinion,No,Yes
