Gender,Race,HomeTwn,Live,Greek?,Parents,GPA,SkipCl,TextSpd,SitArea,HrsStudy,FornTeach,HrsCompu,PayEduc,GetEduc,HrsWork,HubFood,Relimport,ReadBibl,RelPref,God?,Weight,Height,IdlWt,IdlHt,ViewWt,Handed,LongFing,EyeSight,SelfAttr,ShoeSize,LooksImp,MakeFrnds,DateRace,InstMsgr,PeopKiss,DatePerly,AgeDiff,FutSpous,HowComm,DateSpnd,LongRels,UseFaceBk,AgeMarry,CDsOwn,Parties,CellPhn,MinTalk,FavMusic,EntrPref,CDsBurnd,OwnIPod,MP3Playr,MovyGenr,Book_Movy,SpendTVA,HrsExer,SmokeCig,HrsSleep,Abortion,ExerPref,WtTry,FastDrvn,SameSex,IceTerm,CitedOff,DrvnInfl,BevPref,DaysAlco,SmokedMj,Ecstasy,LegalMj?,DrnksUsl,SpndAlco,DrvnDrnk,DrnkIntox,DrnkPref,Shroomed,LiteBeer,Cocaine?,MjBrowny,MostBeer,RolldMj?,Age1stDrk,BushJob,AttkIraq,PolAffln,JoepaQuit,TVSport,HSSports,Virgin,SexNoRel,SexB4Mar,CheatdSO,CheatTel,SexPartns,DatesB4Sex,AgeLostIt,Sex/Week,SameSex_1,UseProtn,HrsPorn,MinDatesB4,OKSameSex,Speed-Dating,SexUnsure,PreMarSex
female,Caucasian,A small town,Dorm,No,Married,3.25,0,350,Middle,10,Yes,3,Parents,Yes,None,Too expensive,Fairly,Never,Other,Yes,155,67,130,67,overweight,right,same,neither,No,2,10,opposite_gender,Yes,1,11-25,Yes,2-4 years older,If it happens,Face to face,20,5,Yes,25,50,8,Yes,180,Country,Movies,15,iPod Mini,Have an iPod,Comedy,Movie,4-6,3,No,5,Yes,Alone,Lose,100,"No never",Italian,0,Yes,Water,8,No,No,Yes,5_6,$30-$50,1,4,Beer,No,Coors,No,No,10,No,16,Disapprove,Yes,Democrat,No,Football,Yes,No,Yes,No,No,Yes,5,3,18,4-5,No,No,None,First ,Yes,bad idea,No,Yes
male,Caucasian,Suburban,Dorm,Yes,Divorced,2.67,1,20,Middle,9,Yes,4,Me,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,170,70,178,70,about_right,right,index,far-sighted,Yes,6,15,no_preference,No,4,More than 25,Yes,0-2 years older,Not important,Face to face,40,2,Yes,29,30,12,Yes,120,Other,Music,15,iPod,Have an iPod,Action,Movie,1-3,10,No,2,Yes,Alone,Gain,155,"No never",Water,3,Yes,Soda,10,Yes,No,Yes,9 or more,0-$10,1,6,Liquor,Yes,Coors,No,Yes,18,Yes,14,Approve,No,Other,No,Don't watch sports,Yes,No,Yes,No,No,Yes,8,2,16,Once,No,Yes,None,Second,No,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,3.4,0,300,Middle,.,No,1.5,Parents,Yes,None,Too expensive,Fairly,Once in a while,Catholic,Yes,157,67,135,65,about_right,right,index,neither,No,5,5,same_gender,No,.,1-5,Yes,2-4 years older,Very important,Face to face,20,0,Yes,23,40,14,Yes,100,Rock,Sports,10,iPod,Have an iPod,Romance,Book,1-3,5,No,6,Yes,Alone,Lose,84,"No never",Italian,0,Yes,Water,12,No,No,No,5_6,0-$10,1,4,Beer,No,Coors,No,No,7,No,18,Disapprove,No,Republican,No,Basketball,Yes,Yes,No,No,No,Yes,0,87,0,Not active,No,Not active,0-2 hours,Not sexually active,Yes,great idea,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,3.4,0,300,Middle,.,No,1.5,Parents,Yes,None,Too expensive,Fairly,Once in a while,Catholic,Yes,157,67,135,65,about_right,right,index,neither,No,5,5,same_gender,No,.,1-5,Yes,2-4 years older,Very important,Face to face,20,0,Yes,23,40,14,Yes,100,Rock,Sports,10,iPod,Have an iPod,Romance,Book,1-3,5,No,6,Yes,Alone,Lose,84,"No never",Italian,0,Yes,Water,12,No,No,No,5_6,0-$10,1,4,Beer,No,Coors,No,No,7,No,18,Disapprove,No,Republican,No,Basketball,Yes,Yes,No,No,No,Yes,0,87,0,Not active,No,Not active,0-2 hours,Not sexually active,Yes,great idea,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,3.8,0,175,Front,8,No,5,Scholar/Parents ,Yes,None,Too expensive,Very,Daily,Protestant,Yes,150,68,135,68,about_right,right,same,neither,Don't know,6,3,same_gender,No,3,1-5,Yes,2-4 years older,If it happens,Face to face,30,0,Yes,24,25,0,Yes,400,Pop,Movies,20,iPod Mini,Have an iPod,Romance,Movie,None,2,No,8,No,With company,Nothing,85,"No never",Italian,0,No,Soda,0,No,No,No,0,0-$10,0,.,Liquor,No,Coors,No,No,.,No,.,Approve,Yes,Republican,No,Football,No,Yes,No,Yes,No,Yes,0,.,0,Not active,No,Not active,None,Not sexually active,No,no opinion,No,No
female,Caucasian,Suburban,Apartment,No,Divorced,3.2,1,200,Middle,10,No,5,Parents,Yes,None,Too expensive,Fairly,Never,Jewish,Yes,130,63,120,66,overweight,right,ring,neither,Yes,4,15,no_preference,No,2,11-25,Yes,2-4 years older,If it happens,Face to face,75,2,Yes,23,100,15,Yes,150,Other,Movies,30,No,Don't own one,Comedy,Movie,1-3,3,No,6,Yes,With company,Lose,90,"No never",Water,0,No,Water,9,Yes,No,Yes,3_4,0-$10,0,6,Liquor,No,Miller,No,No,11,No,16,Disapprove,No,Democrat,No,Football,No,No,Yes,No,No,Yes,6,6,18,2-3,Yes,No,None,Fifth,Yes,no opinion,No,Yes
female,Asian,Suburban,Dorm,No,Married,.,5,500,Back,20,No,6,Scholar/Parents ,Yes,None,Too expensive,Very,Often,Other,Yes,120,63,100,66,overweight,right,same,near-sighted,No,3,23,no_preference,No,4,1-5,Yes,3-4 years younger,If it happens,Face to face,200,1,Yes,24,15,5,Yes,100,Other,Movies,10,iPod Photo,Have an iPod,Horror,Book,4-6,0,No,5,Yes,With company,Lose,120,"No never",Italian,0,No,Water,5,No,No,Yes,7_8,$30-$50,1,6,Liquor,No,Don't drink lite,No,Yes,8,No,19,Approve,No,Democrat,Yes,Don't watch sports,Yes,No,No,Yes,No,Yes,1,60,19,2-3,No,No,None,Tenth or later,No,no opinion,No,No
female,Caucasian,Suburban,Apartment,No,Married,3.5,0,250,Middle,20,No,5,Me,Yes,11-20,Too expensive,Fairly,Once in a while,Catholic,Yes,124,63,120,66,about_right,right,ring,neither,Don't know,5,10,opposite_gender,No,7,6-10,No,2-4 years older,Very important,Face to face,30,4,Yes,25,30,2,Yes,300,Country,Movies,70,iPod,Have an iPod,Drama,Movie,1-3,0,No,6,No,With company,Stay the same,90,"No never",Italian,0,No,Soda,10,No,No,No,1_2,$30-$50,0,6,Wine,No,Don't drink lite,No,No,.,No,16,Disapprove,Yes,Other,No,Baseball,No,No,No,Yes,No,Yes,1,15,20,Not active,No,Yes,None,Tenth or later,Yes,no opinion,No,No
female,Caucasian,Suburban,Dorm,No,Married,3.93,0,200,Middle,4,Yes,4,Parents,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,135,60,105,63,about_right,right,index,far-sighted,No,3,15,no_preference,Yes,.,More than 25,Yes,5-10 years younger,If it happens,Face to face,100,4,Yes,25,30,15,Yes,100,Rock,Music,30,iPod Mini,Have an iPod,Comedy,Movie,1-3,14,No,6,Yes,Alone,Lose,105,"No never",Water,0,Yes,Water,10,Yes,No,Yes,5_6,$11-$30,0,6,Beer,No,Miller,Yes,No,10,Yes,13,Approve,No,Democrat,No,Football,No,No,Yes,No,No,No,5,3,17,6-7,No,No,None,First ,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Apartment,No,Married,2.67,0,170,Middle,20,Yes,3,Scholar/Parents ,No,None,Too expensive,Fairly,Once in a while,Protestant,Yes,153,69,130,67,about_right,right,ring,far-sighted,Yes,6,10,opposite_gender,No,6,11-25,Yes,0-2 years older,If it happens,Email/IM,40,2,Yes,25,20,6,Yes,120,Rock,Movies,20,No,Other,Action,Movie,1-3,0,No,8,Yes,Alone,Lose,80,"No never",Italian,0,Yes,Water,8,No,No,Yes,5_6,$11-$30,1,5,Liquor,No,Bud,No,No,6,Yes,18,Approve,Yes,Democrat,No,Basketball,No,No,Yes,No,No,Yes,10,3,17,Once,Yes,Yes,None,First ,Yes,great idea,No,Yes
male,Caucasian,Suburban,Dorm,No,Married,2.79,0,500,Middle,8,Yes,3,Parents,No,None,Too expensive,Not,Never,Atheist,No,193,72,250,72,underweight,right,ring,near-sighted,Don't know,9,15,same_gender,Yes,1,1-5,Yes,2-4 years older,Very important,Face to face,50,2,Yes,25,150,5,Yes,70,Other,Movies,200,No,Don't own one,Drama,Movie,1-3,7,No,9,No,Alone,Gain,110,"No never",Water,1,No,Alcohol,10,Yes,No,Yes,7_8,$11-$30,0,7,Beer,No,Miller,No,No,12,Yes,17,Approve,Yes,Other,No,Hockey,No,Yes,Yes,No,No,No,0,1,0,Not active,No,Not active,0-2 hours,Not sexually active,No,bad idea,No,Yes
male,Asian,Suburban,Dorm,No,Married,2.24,2,70,Front,15,No,3,Parents,Yes,>20,Too expensive,Not,Never,Protestant,Yes,160,72,170,72,underweight,right,ring,near-sighted,Yes,6,9,same_gender,No,3,1-5,No,5-10 years older,Not important,Face to face,100,2,Yes,26,7,7,Yes,240,Other,Movies,20,No,Don't own one,Action,Movie,1-3,2,Yes,7,Yes,With company,Gain,135,"No never",Water,0,No,Juice,12,No,No,No,5_6,$11-$30,0,5,Wine,No,Miller,No,Yes,10,No,8,Approve,Yes,Republican,No,Football,Yes,No,No,No,No,Yes,2,2,18,Not active,No,Yes,0-2 hours,Second,Yes,bad idea,No,Yes
male,Caucasian,A big city,Dorm,No,Married,3,1,350,Middle,.,No,2,Scholar/Parents ,Yes,1-10,Too expensive,Fairly,Never,Catholic,Yes,165,70,165,71,about_right,right,ring,neither,Yes,6,15,same_gender,No,1,6-10,No,0-2 years older,If it happens,Phone,50,2,Yes,26,150,9,Yes,60,Rock,Music,40,iPod,Have an iPod,Action,Movie,1-3,7,No,7,Yes,Alone,Stay the same,100,"No never",Water,1,Yes,Water,10,Yes,No,No,5_6,$11-$30,1,.,Beer,Yes,Miller,No,Yes,12,Yes,13,Disapprove,No,Democrat,No,Football,Yes,No,No,No,No,Yes,2,5,13,Once,No,No,None,Fifth,Yes,great idea,No,Yes
female,Caucasian,Suburban,Apartment,No,Married,3.57,1,0,Middle,10,Yes,6,Parents,Yes,None,Too expensive,Very,Never,Other,Yes,125,64,115,65,about_right,right,same,near-sighted,Yes,5,8,same_gender,No,3,1-5,No,5-10 years older,If it happens,Face to face,50,3,Yes,25,20,12,Yes,200,Pop,Movies,10,No,Other,Drama,Movie,>6,10,No,8,No,With company,Nothing,75,"No never",Italian,0,No,Soda,12,No,No,No,3_4,0-$10,0,5,Liquor,No,Don't drink lite,No,No,4,No,16,Approve,Yes,Other,No,Football,Yes,Yes,No,No,No,Yes,0,.,0,Not active,No,Not active,None,Not sexually active,Yes,no opinion,No,No
female,Caucasian,Rural,Dorm,No,Married,3.58,0,250,Middle,40,No,5,Me,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,135,69,130,69,about_right,right,index,near-sighted,Yes,5,25,no_preference,Yes,2,6-10,Yes,2-4 years older,If it happens,Face to face,20,2,Yes,28,25,6,Yes,180,Pop,Sports,15,No,Have a Creative Jukebox,Comedy,Movie,1-3,3,No,8,Yes,With company,Lose,100,"No never",Italian,0,Yes,Milk,4,Yes,No,No,5_6,$11-$30,0,5,Wine,No,Coors,No,No,5,No,15,Disapprove,No,Democrat,No,Football,Yes,No,Yes,No,No,Yes,2,8,17,Not active,Yes,Yes,None,8 (on eighth date),Yes,no opinion,No,Yes
male,Caucasian,Suburban,Apartment,No,Married,3.33,1,350,Middle,10,No,2,Parents,Yes,None,Reasonable,Very,Once in a while,Catholic,Yes,155,67,150,68,about_right,left,ring,neither,Yes,6,16,opposite_gender,No,3,More than 25,No,3-4 years younger,Not important,Face to face,20,3,Yes,30,200,5,Yes,50,Rock,Movies,200,No,Other,Comedy,Movie,1-3,2,No,7,Yes,Alone,Lose,110,"No never",Italian,0,Yes,Soda,18,Yes,No,No,3_4,$11-$30,1,6,Liquor,No,Miller,No,Yes,7,No,14,Disapprove,No,Other,No,Football,Yes,No,Yes,No,Yes,No,7,1,17,Not active,No,No,0-2 hours,First ,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,3.16,1,300,Middle,4,Yes,3,Parents,Yes,None,Too expensive,Very,Never,Catholic,Yes,145,65,120,68,overweight,right,index,neither,Yes,3,10,same_gender,No,5,11-25,Yes,0-2 years older,Very important,Face to face,20,1,Yes,25,100,14,Yes,150,Country,Movies,5,iPod,Have an iPod,Romance,Movie,1-3,3,No,7,Yes,With company,Lose,90,"No never",Water,0,Yes,Soda,14,Yes,No,No,7_8,$30-$50,2,3,Liquor,No,Miller,No,No,8,No,15,Disapprove,No,Democrat,No,Football,Yes,No,Yes,Yes,No,No,2,3,18,Not active,No,Yes,None,Second,No,no opinion,No,Yes
male,Caucasian,Suburban,Apartment,No,Married,2.4,2,280,Back,8,Yes,2,Scholar/Me ,Yes,None,Too expensive,Not,Never,Catholic,Yes,175,72,190,72,about_right,right,ring,near-sighted,Don't know,8,11,same_gender,No,8,More than 25,No,0-2 years older,If it happens,Face to face,50,4,No,30,45,10,Yes,100,Rap/Hip Hop,Video Games,20,No,Don't own one,Comedy,Movie,4-6,2,No,8,Yes,With company,Gain,100,"No never",Italian,0,Yes,Soda,20,Yes,No,Yes,7_8,$30-$50,3,7,Beer,Yes,Miller,Yes,Yes,22,Yes,15,Approve,Yes,Other,No,Football,Yes,No,Yes,No,Yes,Yes,50,1,17,6-7,No,No,0-2 hours,First ,No,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Divorced,3.87,0,150,Middle,20,No,2,Parents,Yes,None,Too expensive,Not,Never,Other,Not sure,110,65,110,67,about_right,right,index,near-sighted,Yes,4,5,opposite_gender,Yes,2,More than 25,Yes,2-4 years older,If it happens,Face to face,40,4,Yes,25,100,7,Yes,75,Rap/Hip Hop,Movies,25,iPod,Have an iPod,Comedy,Movie,1-3,.,No,.,Yes,Alone,Stay the same,80,"No never",Water,0,Yes,Water,7,Yes,No,Yes,3_4,0-$10,0,4,Beer,Yes,Miller,No,No,10,Yes,15,Disapprove,No,Democrat,No,Basketball,Yes,No,No,No,No,Yes,4,3,18,2-3,No,Yes,None,First ,Yes,no opinion,No,Yes
male,Caucasian,Rural,Apartment,No,Married,3.63,1,300,Middle,10,Yes,10,Parents,Yes,None,Too expensive,Fairly,Once in a while,Protestant,Yes,150,66,140,66,about_right,right,ring,neither,No,6,10,no_preference,No,.,6-10,Yes,3-4 years younger,If it happens,Face to face,50,0,Yes,27,10,15,Yes,30,Other,Movies,0,iPod,Have an iPod,Action,Movie,1-3,10,No,6,Yes,With company,Lose,65,"No never",Italian,0,No,Soda,16,No,No,No,7_8,More than $50,0,6,Liquor,No,Beast Ice,No,No,15,No,21,Disapprove,Yes,Other,No,Other,No,No,No,No,No,No,1,1,17,Not active,No,Yes,0-2 hours,Fourth,Yes,no opinion,No,Yes
female,Caucasian,Rural,Dorm,No,Married,3.4,0,350,Middle,10,Yes,5,Parents,Yes,None,Too expensive,Very,Never,Catholic,Yes,135,68,130,66,about_right,right,index,neither,Yes,5,12,no_preference,No,6,More than 25,Yes,2-4 years older,If it happens,Face to face,20,2,Yes,25,75,9,Yes,60,Rock,Movies,50,No,Other,Romance,Movie,1-3,2,No,8,No,With company,Stay the same,105,"No never",Water,0,No,Milk,12,Yes,No,No,7_8,$30-$50,0,8,Beer,No,Miller,No,No,15,No,17,Approve,Yes,Republican,No,Football,Yes,No,No,No,No,Yes,1,15,19,4-5,Yes,Yes,None,Tenth or later,No,no opinion,No,Yes
female,Other,A big city,Apartment,No,Divorced,3,1,350,Front,14,Yes,4,Scholar/Me ,Yes,11-20,Too expensive,Fairly,Never,Catholic,Yes,220,64,150,67,overweight,right,ring,near-sighted,Don't know,3,10,same_gender,Yes,3,11-25,Yes,5-10 years older,If it happens,Face to face,25,3,Yes,25,50,4,Yes,300,Pop,Movies,30,No,Don't own one,Drama,Movie,None,5,No,7,Yes,Alone,Lose,90,"Yes occasionally",Water,0,No,Soda,4,No,No,Yes,5_6,$11-$30,0,4,Liquor,No,Miller,No,No,4,No,12,Disapprove,No,Democrat,No,Baseball,Yes,No,Yes,Yes,No,Yes,5,3,15,Not active,Yes,No,None,First ,Yes,bad idea,No,Yes
female,Other,Suburban,Apartment,No,Married,2.61,1,350,Middle,15,No,2,Parents,Yes,None,Too expensive,Not,Never,Agnostic,Yes,105,63,115,64,underweight,right,ring,neither,Yes,3,14,opposite_gender,Yes,2,1-5,Yes,3-4 years younger,If it happens,Face to face,40,3,Yes,26,25,5,Yes,60,Rap/Hip Hop,Movies,3,Other,Other,Action,Movie,4-6,0,No,7,Yes,Alone,Gain,70,"No never",Italian,0,No,Juice,1,No,No,No,1_2,$11-$30,0,3,Liquor,No,Don't drink lite,No,No,1,No,18,Disapprove,Yes,Democrat,No,Baseball,No,No,Yes,No,No,Yes,2,2,18,4-5,No,No,None,Second,Yes,no opinion,No,Yes
male,Caucasian,Rural,Apartment,No,Married,3.2,0,300,Back,8,Yes,6,Parents,No,1-10,Too expensive,Fairly,Never,Protestant,Yes,160,69,175,72,about_right,right,ring,neither,Yes,6,19,no_preference,No,1,11-25,No,2-4 years older,If it happens,Face to face,50,1,Yes,28,50,8,Yes,100,Rap/Hip Hop,Music,100,No,Don't own one,Comedy,Movie,>6,3,Yes,7,No,With company,Stay the same,100,"No never",Italian,5,Yes,Soda,.,Yes,No,Yes,7_8,More than $50,5,6,Liquor,No,Miller,No,No,15,Yes,4,Disapprove,No,Other,No,Other,Yes,No,Yes,No,Yes,No,3,2,18,Once,No,Yes,0-2 hours,First ,Yes,no opinion,No,Yes
male,Caucasian,Suburban,Apartment,No,Married,3.68,2,150,Middle,8,Yes,6,Parents,Yes,None,Too expensive,Very,Never,Catholic,Yes,185,72,190,72,about_right,right,same,near-sighted,Yes,9,15,same_gender,No,5,1-5,Yes,0-2 years younger,Very important,Face to face,50,2,Yes,24,10,8,Yes,60,Rock,Video Games,50,No,Don't own one,Comedy,Movie,1-3,7,No,7,No,With company,Gain,130,"No never",Italian,2,Yes,Milk,11,Yes,No,No,7_8,$11-$30,1,12,Beer,No,Miller,No,No,18,No,17,Approve,Yes,Republican,No,Football,Yes,No,Yes,No,Yes,Yes,1,10,19,4-5,No,Yes,None,Tenth or later,No,great idea,No,Yes
male,Caucasian,Suburban,At home,No,Married,3.2,1,300,Middle,5,Yes,1,Scholar/Parents ,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,165,68,160,72,about_right,left,index,neither,Yes,7,22,no_preference,No,1,6-10,No,3-4 years younger,If it happens,Face to face,60,2,No,27,20,10,Yes,180,Rap/Hip Hop,Sports,0,iPod,Other,Comedy,Movie,1-3,7,No,8,Yes,Alone,Stay the same,90,"No never",Italian,0,Yes,Milk,8,No,No,No,7_8,More than $50,3,7,Beer,No,Bud,No,No,15,No,16,Disapprove,No,Other,No,Football,Yes,No,Yes,No,No,Yes,3,2,17,Once,No,No,0-2 hours,Third,No,no opinion,No,Yes
male,Caucasian,Suburban,Dorm,No,Married,3.62,0,250,Middle,6,Yes,1.5,Me,Yes,None,Too expensive,Not,Never,Catholic,Not sure,150,74,165,74,underweight,right,index,near-sighted,No,9,13,same_gender,No,3,6-10,Yes,2-4 years older,If it happens,Face to face,25,1,Yes,27,2,7,Yes,50,Rock,Video Games,10,No,Don't own one,Comedy,Movie,4-6,1,No,7,Yes,With company,Nothing,98,"No never",Water,0,No,Juice,9,No,No,Yes,3_4,0-$10,0,6,Liquor,No,Don't drink lite,No,No,8,No,14,Approve,No,Other,No,Football,No,No,No,No,No,No,1,3,18,Not active,No,Not active,0-2 hours,Third,Yes,no opinion,No,Yes
male,Asian,A big city,Dorm,Yes,Married,3.35,0,300,Middle,15,No,5,Parents,Yes,1-10,Too expensive,Not,Never,Other,Not sure,200,71,180,78,overweight,right,ring,near-sighted,Yes,7,15,no_preference,No,.,6-10,No,0-2 years younger,If it happens,Face to face,50,2,No,30,50,4,Yes,300,Rap/Hip Hop,Movies,10,No,Have an iPod,Horror,Movie,None,5,Yes,7,Yes,With company,Lose,110,"No never",Italian,5,No,Alcohol,7,No,No,No,3_4,$30-$50,.,40,Liquor,Yes,Don't drink lite,No,No,12,No,12,Disapprove,No,Democrat,Yes,Basketball,No,No,Yes,No,No,No,1,2,16,Not active,No,No,More than 4 hours,Seventh,No,great idea,No,No
female,Caucasian,Suburban,Dorm,No,Married,3.55,0,0,Middle,20,Yes,3,All by scholarships,Yes,None,Reasonable,Fairly,Once in a while,Other,Yes,137,65,130,66,about_right,right,ring,neither,Yes,4,5,same_gender,Yes,3,1-5,Yes,0-2 years older,If it happens,Face to face,40,2,Yes,28,30,3,Yes,140,Other,Movies,5,iPod,Have an iPod,Romance,Movie,1-3,20,No,7,Yes,With company,Stay the same,85,"No never",Water,0,No,Milk,0,No,No,No,0,0-$10,0,.,Non Drinker,No,Don't drink lite,No,No,0,No,.,Approve,No,Republican,No,Other,Yes,Yes,No,Yes,No,Yes,0,.,0,Not active,No,Not active,None,Not sexually active,Yes,no opinion,Yes ,No
male,Asian,A big city,Dorm,No,Married,3.21,0,150,Front,5,No,4,Parents,No,None,Reasonable,Very,Often,Protestant,Yes,154,70,160,75,about_right,right,index,neither,Yes,7,21,same_gender,No,.,1-5,No,0-2 years younger,If it happens,Face to face,50,.,Yes,30,100,5,Yes,5,Rock,Movies,500,iPod,Have an iPod,Horror,Movie,1-3,5,No,7,No,Alone,Gain,120,"No never",Water,0,No,Alcohol,7,No,No,No,5_6,0-$10,5,0,Beer,No,Bud,No,No,6,No,18,Approve,Yes,Democrat,No,Football,Yes,No,No,Yes,No,No,1,1,18,Not active,No,Yes,None,Tenth or later,No,great idea,No,No
female,Caucasian,Suburban,Apartment,Yes,Married,3.52,0,225,Middle,20,No,4,Parents,Yes,None,Reasonable,Very,Once in a while,Other,Yes,135,67,125,67,about_right,right,index,neither,Yes,4,8,no_preference,Yes,1,More than 25,No,2-4 years older,If it happens,Face to face,50,1,No,26,75,7,Yes,200,Pop,Movies,100,Other,Have an iPod,Comedy,Movie,1-3,6,No,6,Yes,With company,Lose,105,Once or twice,Italian,0,Yes,Alcohol,13,No,No,No,3_4,More than $50,1,4,Beer,No,Miller,No,No,15,No,12,Approve,Yes,Republican,No,Football,Yes,No,Yes,Yes,Yes,Yes,8,2,18,4-5,Yes,No,None,Second,Yes,great idea,No,Yes
male,Caucasian,Suburban,Apartment,No,Married,3.1,1,180,Middle,5,Yes,8,Scholar/Parents ,No,None,Too expensive,Not,Never,Other,No,130,65,150,67,underweight,right,ring,neither,No,5,14,same_gender,No,.,6-10,No,3-4 years younger,If it happens,Face to face,50,2,Yes,28,100,9,Yes,5,Rock,Music,0,iPod,Have an iPod,Comedy,Movie,1-3,9,No,10,Yes,With company,Gain,110,"No never",Italian,1,Yes,Juice,15,Yes,No,Yes,3_4,$11-$30,0,5,Beer,Yes,Miller,No,Yes,10,Yes,16,Disapprove,No,Democrat,No,Baseball,Yes,No,Yes,No,No,No,7,1,17,Once,No,Yes,0-2 hours,Third,Yes,bad idea,Yes,Yes
male,Caucasian,A big city,Apartment,No,Divorced,2.8,2,300,Middle,10,Yes,2,Scholar/Me ,Yes,11-20,Reasonable,Not,Once in a while,Catholic,Not sure,215,74,215,74,about_right,right,ring,near-sighted,Yes,8,12,same_gender,No,3,11-25,No,3-4 years younger,Not important,Phone,80,2,Yes,27,20,5,Yes,120,Rock,Movies,100,No,Other,Comedy,Movie,1-3,10,No,7,Yes,Alone,Stay the same,115,"No never",Water,2,Yes,Water,6,Yes,No,Yes,5_6,$11-$30,5,6,Beer,No,Miller,No,No,15,Yes,12,Disapprove,No,Republican,No,Football,Yes,No,Yes,No,No,No,8,1,18,Once,No,Yes,0-2 hours,Third,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Dorm,No,Married,2.8,5,400,Middle,15,Yes,3,Parents,Yes,None,Too expensive,Fairly,Never,Other,Yes,135,64,125,65,about_right,right,ring,near-sighted,Don't know,4,12,opposite_gender,No,.,More than 25,No,0-2 years younger,If it happens,Face to face,25,3,Yes,28,50,10,Yes,140,Rock,Movies,50,iPod Photo,Have an iPod,Comedy,Movie,1-3,6,No,7,Yes,With company,Lose,100,Once or twice,Water,2,Yes,Milk,10,Yes,No,Yes,5_6,0-$10,5,6,Beer,No,Miller,No,No,24,No,17,Disapprove,No,Other,No,Football,Yes,No,Yes,No,No,Yes,3,10,18,Once,No,Yes,0-2 hours,Tenth or later,Yes,no opinion,No,Yes
female,Caucasian,Rural,At home,No,Divorced,3.87,0,25,Middle,8,No,2,Parents,Yes,None,Too expensive,Very,Daily,Other,Yes,130,62,115,65,overweight,right,same,near-sighted,Yes,2,10,no_preference,No,2,6-10,Yes,More than 10 years older,If it happens,Email/IM,50,3,No,30,150,0,Yes,14,Rock,Movies,3,No,Other,Other,Book,>6,2,No,8,Yes,With company,Lose,85,"No never",Water,0,No,Water,0,No,No,Yes,0,0-$10,0,2,Liquor,No,Don't drink lite,No,No,0,No,21,Approve,No,Republican,No,Football,Yes,No,No,Yes,No,Yes,3,30,17,2-3,No,No,None,Tenth or later,No,bad idea,No,Yes
female,Hispanic,Suburban,Dorm,No,Married,3.4,1,400,Front,20,No,5,Scholar/Parents ,Yes,None,Too expensive,Fairly,Never,Other,Not sure,135,63,120,65,about_right,right,ring,near-sighted,Yes,3,10,same_gender,Yes,5,1-5,Yes,0-2 years younger,If it happens,Face to face,50,2,Yes,27,50,2,Yes,120,Rap/Hip Hop,Music,5,No,Don't own one,Drama,Movie,1-3,7,No,6,Yes,With company,Lose,70,"No never",Italian,0,No,Milk,2,No,No,No,1_2,0-$10,0,3,Liquor,No,Don't drink lite,No,No,0,No,19,Disapprove,No,Democrat,No,Football,Yes,No,No,No,No,Yes,3,20,20,Once,No,Yes,None,Tenth or later,Yes,bad idea,No,Yes
female,Other,A small town,Apartment,No,Married,2.6,0,300,Front,10,No,4,Me,Yes,None,Too expensive,Very,Once in a while,Protestant,Yes,120,63,115,65,about_right,right,ring,near-sighted,Yes,2,10,opposite_gender,Yes,0,1-5,Yes,0-2 years younger,If it happens,Phone,25,1,Yes,25,30,0,Yes,200,Rap/Hip Hop,Music,30,No,Other,Drama,Movie,4-6,1,No,7,Yes,With company,Stay the same,70,"No never",Italian,0,No,Juice,0,Yes,No,Yes,0,0-$10,0,6,Liquor,No,Don't drink lite,No,No,0,Yes,17,Disapprove,No,Democrat,No,Don't watch sports,No,No,No,Yes,No,Yes,1,60,18,6-7,No,Yes,None,Tenth or later,No,bad idea,No,No
male,Caucasian,Suburban,Dorm,No,Divorced,3,3,220,Middle,3,Yes,8,Me,Yes,None,Too expensive,Not,Never,Atheist,No,112,67,120,68,underweight,right,ring,near-sighted,Yes,5,19,opposite_gender,Yes,1,1-5,No,5-10 years older,If it happens,Face to face,25,1,Yes,28,4,2,No,0,Other,Movies,30,No,Other,Action,Movie,1-3,0,No,7,Yes,Alone,Gain,85,"No never",Italian,0,No,Soda,2,No,No,Yes,1_2,0-$10,0,1,Wine,No,Don't drink lite,No,No,0,No,19,Disapprove,No,Other,No,Don't watch sports,Yes,No,Yes,No,No,Yes,1,1,20,4-5,No,Yes,None,Third,Yes,no opinion,No,Yes
